INFO 2026-02-13 18:14:59,577 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:15:05,551 log "GET /admin/ttgen/instructor/add/ HTTP/1.1" 200 12625
INFO 2026-02-13 18:15:05,574 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:15:10,631 log "POST /admin/ttgen/instructor/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:15:10,651 log "GET /admin/ttgen/instructor/ HTTP/1.1" 200 14522
INFO 2026-02-13 18:15:11,005 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:15:13,418 log "GET /admin/ttgen/instructor/add/ HTTP/1.1" 200 12625
INFO 2026-02-13 18:15:13,435 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:15:21,622 log "POST /admin/ttgen/instructor/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:15:21,640 log "GET /admin/ttgen/instructor/ HTTP/1.1" 200 14838
INFO 2026-02-13 18:15:21,660 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:15:27,427 log "GET /admin/ttgen/room/add/ HTTP/1.1" 200 13383
INFO 2026-02-13 18:15:27,740 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:15:42,666 log "POST /admin/ttgen/room/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:15:42,686 log "GET /admin/ttgen/room/ HTTP/1.1" 200 15008
INFO 2026-02-13 18:15:42,709 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:15:44,006 log "GET /admin/ttgen/room/add/ HTTP/1.1" 200 13383
INFO 2026-02-13 18:15:44,024 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:15:51,688 log "POST /admin/ttgen/room/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:15:51,705 log "GET /admin/ttgen/room/ HTTP/1.1" 200 15349
INFO 2026-02-13 18:15:51,726 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:15:54,111 log "GET /admin/ttgen/room/add/ HTTP/1.1" 200 13383
INFO 2026-02-13 18:15:54,130 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:16:07,285 log "POST /admin/ttgen/room/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:16:07,312 log "GET /admin/ttgen/room/ HTTP/1.1" 200 15688
INFO 2026-02-13 18:16:07,336 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:16:11,670 log "GET /admin/ttgen/room/add/ HTTP/1.1" 200 13383
INFO 2026-02-13 18:16:11,688 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:16:24,635 log "POST /admin/ttgen/room/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:16:24,657 log "GET /admin/ttgen/room/ HTTP/1.1" 200 16020
INFO 2026-02-13 18:16:24,680 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:16:29,400 log "GET /admin/ttgen/room/add/ HTTP/1.1" 200 13383
INFO 2026-02-13 18:16:29,428 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:16:43,544 log "POST /admin/ttgen/room/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:16:43,561 log "GET /admin/ttgen/room/ HTTP/1.1" 200 16353
INFO 2026-02-13 18:16:43,587 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:16:52,010 log "GET /admin/ttgen/room/add/ HTTP/1.1" 200 13383
INFO 2026-02-13 18:16:52,036 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:16:59,821 log "POST /admin/ttgen/room/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:16:59,839 log "GET /admin/ttgen/room/ HTTP/1.1" 200 16686
INFO 2026-02-13 18:16:59,858 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:17:00,805 log "GET /admin/ttgen/room/add/ HTTP/1.1" 200 13383
INFO 2026-02-13 18:17:00,826 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:17:08,508 log "POST /admin/ttgen/room/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:17:08,526 log "GET /admin/ttgen/room/ HTTP/1.1" 200 17019
INFO 2026-02-13 18:17:08,545 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:17:10,838 log "GET /admin/ttgen/room/add/ HTTP/1.1" 200 13383
INFO 2026-02-13 18:17:10,856 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:17:20,540 log "POST /admin/ttgen/room/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:17:20,558 log "GET /admin/ttgen/room/ HTTP/1.1" 200 17352
INFO 2026-02-13 18:17:20,578 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:17:31,981 log "GET /admin/ttgen/course/add/ HTTP/1.1" 200 15967
INFO 2026-02-13 18:17:32,306 log "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2026-02-13 18:17:32,307 log "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 16428
INFO 2026-02-13 18:17:32,309 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:17:32,352 log "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 2387
INFO 2026-02-13 18:18:23,079 log "GET /admin/ttgen/instructor/add/?_to_field=id&_popup=1 HTTP/1.1" 200 4985
INFO 2026-02-13 18:18:23,506 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:18:37,191 log "POST /admin/ttgen/course/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:18:37,209 log "GET /admin/ttgen/course/ HTTP/1.1" 200 14747
INFO 2026-02-13 18:18:37,234 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:18:47,756 log "GET /admin/ttgen/course/add/ HTTP/1.1" 200 15967
INFO 2026-02-13 18:18:47,778 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:19:10,618 log "POST /admin/ttgen/course/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:19:10,636 log "GET /admin/ttgen/course/ HTTP/1.1" 200 15162
INFO 2026-02-13 18:19:10,662 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:19:12,387 log "GET /admin/ttgen/course/add/ HTTP/1.1" 200 15967
INFO 2026-02-13 18:19:12,410 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:19:35,755 log "POST /admin/ttgen/course/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:19:35,776 log "GET /admin/ttgen/course/ HTTP/1.1" 200 15596
INFO 2026-02-13 18:19:36,119 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:19:44,725 log "GET /admin/ttgen/course/add/ HTTP/1.1" 200 15967
INFO 2026-02-13 18:19:44,744 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:20:13,582 log "POST /admin/ttgen/course/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:20:13,601 log "GET /admin/ttgen/course/ HTTP/1.1" 200 16029
INFO 2026-02-13 18:20:13,950 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:20:30,814 log "GET /admin/ttgen/course/add/ HTTP/1.1" 200 15967
INFO 2026-02-13 18:20:30,848 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:20:57,421 log "POST /admin/ttgen/course/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:20:57,439 log "GET /admin/ttgen/course/ HTTP/1.1" 200 16441
INFO 2026-02-13 18:20:57,485 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:20:58,905 log "GET /admin/ttgen/course/add/ HTTP/1.1" 200 15967
INFO 2026-02-13 18:20:58,926 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:21:22,393 log "POST /admin/ttgen/course/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:21:22,415 log "GET /admin/ttgen/course/ HTTP/1.1" 200 16854
INFO 2026-02-13 18:21:22,457 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
